"","subject","calculation","readingtype","activitydescription","average"
"1",1,"mean","BodyAcc","LAYING",-0.436825066141567
"2",1,"mean","BodyAcc","SITTING",-0.454587597129894
"3",1,"mean","BodyAcc","STANDING",-0.467573276306604
"4",1,"mean","BodyAcc","WALKING",-0.0493071435085965
"5",1,"mean","BodyAcc","WALKING_DOWNSTAIRS",-0.00234862596952381
"6",1,"mean","BodyAcc","WALKING_UPSTAIRS",-0.149073611462296
"7",1,"mean","BodyAccJerk","LAYING",-0.4553064038717
"8",1,"mean","BodyAccJerk","SITTING",-0.480122326182128
"9",1,"mean","BodyAccJerk","STANDING",-0.481855755386151
"10",1,"mean","BodyAccJerk","WALKING",-0.0961043960946509
"11",1,"mean","BodyAccJerk","WALKING_DOWNSTAIRS",-0.0619719947438776
"12",1,"mean","BodyAccJerk","WALKING_UPSTAIRS",-0.250582949089937
"13",1,"mean","BodyAccJerkMag","LAYING",-0.9543962646
"14",1,"mean","BodyAccJerkMag","SITTING",-0.987364195531915
"15",1,"mean","BodyAccJerkMag","STANDING",-0.992367790566038
"16",1,"mean","BodyAccJerkMag","WALKING",-0.141428809031579
"17",1,"mean","BodyAccJerkMag","WALKING_DOWNSTAIRS",-0.0894474807979592
"18",1,"mean","BodyAccJerkMag","WALKING_UPSTAIRS",-0.466503446226415
"19",1,"mean","BodyAccMag","LAYING",-0.8518484003
"20",1,"mean","BodyAccMag","SITTING",-0.948159854361702
"21",1,"mean","BodyAccMag","STANDING",-0.984817284245283
"22",1,"mean","BodyAccMag","WALKING",-0.132797313593158
"23",1,"mean","BodyAccMag","WALKING_DOWNSTAIRS",0.0618864128573469
"24",1,"mean","BodyAccMag","WALKING_UPSTAIRS",-0.241161787726415
"25",1,"mean","BodyBodyAccJerkMag","LAYING",-0.9333003608
"26",1,"mean","BodyBodyAccJerkMag","SITTING",-0.985262126808511
"27",1,"mean","BodyBodyAccJerkMag","STANDING",-0.99254247754717
"28",1,"mean","BodyBodyAccJerkMag","WALKING",-0.0571194000343158
"29",1,"mean","BodyBodyAccJerkMag","WALKING_DOWNSTAIRS",0.0262184949326531
"30",1,"mean","BodyBodyAccJerkMag","WALKING_UPSTAIRS",-0.44265216245283
"31",1,"mean","BodyBodyGyroJerkMag","LAYING",-0.9423669466
"32",1,"mean","BodyBodyGyroJerkMag","SITTING",-0.989797547234043
"33",1,"mean","BodyBodyGyroJerkMag","STANDING",-0.994815376981132
"34",1,"mean","BodyBodyGyroJerkMag","WALKING",-0.319308593778947
"35",1,"mean","BodyBodyGyroJerkMag","WALKING_DOWNSTAIRS",-0.281963359177551
"36",1,"mean","BodyBodyGyroJerkMag","WALKING_UPSTAIRS",-0.634665082075472
"37",1,"mean","BodyBodyGyroMag","LAYING",-0.8621901854
"38",1,"mean","BodyBodyGyroMag","SITTING",-0.958435589361702
"39",1,"mean","BodyBodyGyroMag","STANDING",-0.984617623396226
"40",1,"mean","BodyBodyGyroMag","WALKING",-0.199252568986316
"41",1,"mean","BodyBodyGyroMag","WALKING_DOWNSTAIRS",-0.185720285744898
"42",1,"mean","BodyBodyGyroMag","WALKING_UPSTAIRS",-0.325961457396226
"43",1,"mean","BodyGyro","LAYING",-0.440682195365333
"44",1,"mean","BodyGyro","SITTING",-0.496276404014539
"45",1,"mean","BodyGyro","STANDING",-0.49412142824934
"46",1,"mean","BodyGyro","WALKING",-0.120741457716614
"47",1,"mean","BodyGyro","WALKING_DOWNSTAIRS",-0.0793252693578231
"48",1,"mean","BodyGyro","WALKING_UPSTAIRS",-0.220490763155975
"49",1,"mean","BodyGyroJerk","LAYING",-0.074279452394
"50",1,"mean","BodyGyroJerk","SITTING",-0.0601979400496454
"51",1,"mean","BodyGyroJerk","STANDING",-0.0642075157899371
"52",1,"mean","BodyGyroJerk","WALKING",-0.0586571142729825
"53",1,"mean","BodyGyroJerk","WALKING_DOWNSTAIRS",-0.04833186269
"54",1,"mean","BodyGyroJerk","WALKING_UPSTAIRS",-0.0683646364092453
"55",1,"mean","BodyGyroJerkMag","LAYING",-0.96346103
"56",1,"mean","BodyGyroJerkMag","SITTING",-0.991976341276596
"57",1,"mean","BodyGyroJerkMag","STANDING",-0.994966790566038
"58",1,"mean","BodyGyroJerkMag","WALKING",-0.298703679084211
"59",1,"mean","BodyGyroJerkMag","WALKING_DOWNSTAIRS",-0.295463843346939
"60",1,"mean","BodyGyroJerkMag","WALKING_UPSTAIRS",-0.59488286509434
"61",1,"mean","BodyGyroMag","LAYING",-0.874759548
"62",1,"mean","BodyGyroMag","SITTING",-0.93089249
"63",1,"mean","BodyGyroMag","STANDING",-0.976493792830189
"64",1,"mean","BodyGyroMag","WALKING",-0.160979552536842
"65",1,"mean","BodyGyroMag","WALKING_DOWNSTAIRS",-0.0757412543673469
"66",1,"mean","BodyGyroMag","WALKING_UPSTAIRS",-0.126735589969811
"67",1,"mean","GravityAcc","LAYING",0.300828564993333
"68",1,"mean","GravityAcc","SITTING",0.455988409617021
"69",1,"mean","GravityAcc","STANDING",0.227819583478616
"70",1,"mean","GravityAcc","WALKING",0.194985105403509
"71",1,"mean","GravityAcc","WALKING_DOWNSTAIRS",0.201048040468707
"72",1,"mean","GravityAcc","WALKING_UPSTAIRS",0.15193159781761
"73",1,"mean","GravityAccMag","LAYING",-0.8419291525
"74",1,"mean","GravityAccMag","SITTING",-0.948536786170213
"75",1,"mean","GravityAccMag","STANDING",-0.984278207358491
"76",1,"mean","GravityAccMag","WALKING",-0.136971176556842
"77",1,"mean","GravityAccMag","WALKING_DOWNSTAIRS",0.0271882914106122
"78",1,"mean","GravityAccMag","WALKING_UPSTAIRS",-0.129927630735849
"79",1,"std","BodyAcc","LAYING",-0.860316637764667
"80",1,"std","BodyAcc","SITTING",-0.944598469822695
"81",1,"std","BodyAcc","STANDING",-0.982497423616352
"82",1,"std","BodyAcc","WALKING",-0.162014714755491
"83",1,"std","BodyAcc","WALKING_DOWNSTAIRS",-0.103149268968806
"84",1,"std","BodyAcc","WALKING_UPSTAIRS",-0.101034942099371
"85",1,"std","BodyAccJerk","LAYING",-0.949075343766667
"86",1,"std","BodyAccJerk","SITTING",-0.985676595
"87",1,"std","BodyAccJerk","STANDING",-0.991157709371069
"88",1,"std","BodyAccJerk","WALKING",-0.185145513300842
"89",1,"std","BodyAccJerk","WALKING_DOWNSTAIRS",-0.180374942219286
"90",1,"std","BodyAccJerk","WALKING_UPSTAIRS",-0.516906022767296
"91",1,"std","BodyAccJerkMag","LAYING",-0.9282456284
"92",1,"std","BodyAccJerkMag","SITTING",-0.984120024042553
"93",1,"std","BodyAccJerkMag","STANDING",-0.993096209433962
"94",1,"std","BodyAccJerkMag","WALKING",-0.0744717500625263
"95",1,"std","BodyAccJerkMag","WALKING_DOWNSTAIRS",-0.0257877197081633
"96",1,"std","BodyAccJerkMag","WALKING_UPSTAIRS",-0.478991622075472
"97",1,"std","BodyAccMag","LAYING",-0.79672290213
"98",1,"std","BodyAccMag","SITTING",-0.927761610212766
"99",1,"std","BodyAccMag","STANDING",-0.982128366792453
"100",1,"std","BodyAccMag","WALKING",-0.308860616236842
"101",1,"std","BodyAccMag","WALKING_DOWNSTAIRS",-0.0833229752234694
"102",1,"std","BodyAccMag","WALKING_UPSTAIRS",-0.370615515377358
"103",1,"std","BodyBodyAccJerkMag","LAYING",-0.9218039756
"104",1,"std","BodyBodyAccJerkMag","SITTING",-0.981606177446808
"105",1,"std","BodyBodyAccJerkMag","STANDING",-0.992536003396226
"106",1,"std","BodyBodyAccJerkMag","WALKING",-0.103492403002105
"107",1,"std","BodyBodyAccJerkMag","WALKING_DOWNSTAIRS",-0.104052260726531
"108",1,"std","BodyBodyAccJerkMag","WALKING_UPSTAIRS",-0.533059853773585
"109",1,"std","BodyBodyGyroJerkMag","LAYING",-0.9326606676
"110",1,"std","BodyBodyGyroJerkMag","SITTING",-0.987049617234043
"111",1,"std","BodyBodyGyroJerkMag","STANDING",-0.994671123207547
"112",1,"std","BodyBodyGyroJerkMag","WALKING",-0.381601911789474
"113",1,"std","BodyBodyGyroJerkMag","WALKING_DOWNSTAIRS",-0.391919876612245
"114",1,"std","BodyBodyGyroJerkMag","WALKING_UPSTAIRS",-0.693930521509434
"115",1,"std","BodyBodyGyroMag","LAYING",-0.82431943968
"116",1,"std","BodyBodyGyroMag","SITTING",-0.932198374893617
"117",1,"std","BodyBodyGyroMag","STANDING",-0.978466072075472
"118",1,"std","BodyBodyGyroMag","WALKING",-0.321017953894737
"119",1,"std","BodyBodyGyroMag","WALKING_DOWNSTAIRS",-0.398350390122449
"120",1,"std","BodyBodyGyroMag","WALKING_UPSTAIRS",-0.182985518264151
"121",1,"std","BodyGyro","LAYING",-0.913838329836667
"122",1,"std","BodyGyro","SITTING",-0.961546368333333
"123",1,"std","BodyGyro","STANDING",-0.985420366666667
"124",1,"std","BodyGyro","WALKING",-0.309862035004474
"125",1,"std","BodyGyro","WALKING_DOWNSTAIRS",-0.270727162030952
"126",1,"std","BodyGyro","WALKING_UPSTAIRS",-0.338999336804088
"127",1,"std","BodyGyroJerk","LAYING",-0.948101974666667
"128",1,"std","BodyGyroJerk","SITTING",-0.989728489007092
"129",1,"std","BodyGyroJerk","STANDING",-0.993397163836478
"130",1,"std","BodyGyroJerk","WALKING",-0.305381939340351
"131",1,"std","BodyGyroJerk","WALKING_DOWNSTAIRS",-0.331537883339456
"132",1,"std","BodyGyroJerk","WALKING_UPSTAIRS",-0.607605055660377
"133",1,"std","BodyGyroJerkMag","LAYING",-0.9358409828
"134",1,"std","BodyGyroJerkMag","SITTING",-0.988308728510638
"135",1,"std","BodyGyroJerkMag","STANDING",-0.994733238679245
"136",1,"std","BodyGyroJerkMag","WALKING",-0.325324878894737
"137",1,"std","BodyGyroJerkMag","WALKING_DOWNSTAIRS",-0.306510645530612
"138",1,"std","BodyGyroJerkMag","WALKING_UPSTAIRS",-0.648553044339623
"139",1,"std","BodyGyroMag","LAYING",-0.81901016976
"140",1,"std","BodyGyroMag","SITTING",-0.934531840425532
"141",1,"std","BodyGyroMag","STANDING",-0.978690028679245
"142",1,"std","BodyGyroMag","WALKING",-0.186978364526316
"143",1,"std","BodyGyroMag","WALKING_DOWNSTAIRS",-0.225724368061224
"144",1,"std","BodyGyroMag","WALKING_UPSTAIRS",-0.14861931805283
"145",1,"std","GravityAcc","LAYING",-0.885638771793333
"146",1,"std","GravityAcc","SITTING",-0.951005044964539
"147",1,"std","GravityAcc","STANDING",-0.983771002201258
"148",1,"std","GravityAcc","WALKING",-0.965210943368421
"149",1,"std","GravityAcc","WALKING_DOWNSTAIRS",-0.927839388571429
"150",1,"std","GravityAcc","WALKING_UPSTAIRS",-0.940531890503145
"151",1,"std","GravityAccMag","LAYING",-0.79514486386
"152",1,"std","GravityAccMag","SITTING",-0.927078418723404
"153",1,"std","GravityAccMag","STANDING",-0.981942928867925
"154",1,"std","GravityAccMag","WALKING",-0.219688645631579
