"subject" "calculation" "readingtype" "activitydescription" "average"
1 "mean" "BodyAcc" "LAYING" -0.436825066141567
1 "mean" "BodyAcc" "SITTING" -0.454587597129894
1 "mean" "BodyAcc" "STANDING" -0.467573276306604
1 "mean" "BodyAcc" "WALKING" -0.0493071435085965
1 "mean" "BodyAcc" "WALKING_DOWNSTAIRS" -0.00234862596952381
1 "mean" "BodyAcc" "WALKING_UPSTAIRS" -0.149073611462296
1 "mean" "BodyAccJerk" "LAYING" -0.4553064038717
1 "mean" "BodyAccJerk" "SITTING" -0.480122326182128
1 "mean" "BodyAccJerk" "STANDING" -0.481855755386151
1 "mean" "BodyAccJerk" "WALKING" -0.0961043960946509
1 "mean" "BodyAccJerk" "WALKING_DOWNSTAIRS" -0.0619719947438776
1 "mean" "BodyAccJerk" "WALKING_UPSTAIRS" -0.250582949089937
1 "mean" "BodyAccJerkMag" "LAYING" -0.9543962646
1 "mean" "BodyAccJerkMag" "SITTING" -0.987364195531915
1 "mean" "BodyAccJerkMag" "STANDING" -0.992367790566038
1 "mean" "BodyAccJerkMag" "WALKING" -0.141428809031579
1 "mean" "BodyAccJerkMag" "WALKING_DOWNSTAIRS" -0.0894474807979592
1 "mean" "BodyAccJerkMag" "WALKING_UPSTAIRS" -0.466503446226415
1 "mean" "BodyAccMag" "LAYING" -0.8518484003
1 "mean" "BodyAccMag" "SITTING" -0.948159854361702
1 "mean" "BodyAccMag" "STANDING" -0.984817284245283
1 "mean" "BodyAccMag" "WALKING" -0.132797313593158
1 "mean" "BodyAccMag" "WALKING_DOWNSTAIRS" 0.0618864128573469
1 "mean" "BodyAccMag" "WALKING_UPSTAIRS" -0.241161787726415
1 "mean" "BodyBodyAccJerkMag" "LAYING" -0.9333003608
1 "mean" "BodyBodyAccJerkMag" "SITTING" -0.985262126808511
1 "mean" "BodyBodyAccJerkMag" "STANDING" -0.99254247754717
1 "mean" "BodyBodyAccJerkMag" "WALKING" -0.0571194000343158
1 "mean" "BodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 0.0262184949326531
1 "mean" "BodyBodyAccJerkMag" "WALKING_UPSTAIRS" -0.44265216245283
1 "mean" "BodyBodyGyroJerkMag" "LAYING" -0.9423669466
1 "mean" "BodyBodyGyroJerkMag" "SITTING" -0.989797547234043
1 "mean" "BodyBodyGyroJerkMag" "STANDING" -0.994815376981132
1 "mean" "BodyBodyGyroJerkMag" "WALKING" -0.319308593778947
1 "mean" "BodyBodyGyroJerkMag" "WALKING_DOWNSTAIRS" -0.281963359177551
1 "mean" "BodyBodyGyroJerkMag" "WALKING_UPSTAIRS" -0.634665082075472
1 "mean" "BodyBodyGyroMag" "LAYING" -0.8621901854
1 "mean" "BodyBodyGyroMag" "SITTING" -0.958435589361702
1 "mean" "BodyBodyGyroMag" "STANDING" -0.984617623396226
1 "mean" "BodyBodyGyroMag" "WALKING" -0.199252568986316
1 "mean" "BodyBodyGyroMag" "WALKING_DOWNSTAIRS" -0.185720285744898
1 "mean" "BodyBodyGyroMag" "WALKING_UPSTAIRS" -0.325961457396226
1 "mean" "BodyGyro" "LAYING" -0.440682195365333
1 "mean" "BodyGyro" "SITTING" -0.496276404014539
1 "mean" "BodyGyro" "STANDING" -0.49412142824934
1 "mean" "BodyGyro" "WALKING" -0.120741457716614
1 "mean" "BodyGyro" "WALKING_DOWNSTAIRS" -0.0793252693578231
1 "mean" "BodyGyro" "WALKING_UPSTAIRS" -0.220490763155975
1 "mean" "BodyGyroJerk" "LAYING" -0.074279452394
1 "mean" "BodyGyroJerk" "SITTING" -0.0601979400496454
1 "mean" "BodyGyroJerk" "STANDING" -0.0642075157899371
1 "mean" "BodyGyroJerk" "WALKING" -0.0586571142729825
1 "mean" "BodyGyroJerk" "WALKING_DOWNSTAIRS" -0.04833186269
1 "mean" "BodyGyroJerk" "WALKING_UPSTAIRS" -0.0683646364092453
1 "mean" "BodyGyroJerkMag" "LAYING" -0.96346103
1 "mean" "BodyGyroJerkMag" "SITTING" -0.991976341276596
1 "mean" "BodyGyroJerkMag" "STANDING" -0.994966790566038
1 "mean" "BodyGyroJerkMag" "WALKING" -0.298703679084211
1 "mean" "BodyGyroJerkMag" "WALKING_DOWNSTAIRS" -0.295463843346939
1 "mean" "BodyGyroJerkMag" "WALKING_UPSTAIRS" -0.59488286509434
1 "mean" "BodyGyroMag" "LAYING" -0.874759548
1 "mean" "BodyGyroMag" "SITTING" -0.93089249
1 "mean" "BodyGyroMag" "STANDING" -0.976493792830189
1 "mean" "BodyGyroMag" "WALKING" -0.160979552536842
1 "mean" "BodyGyroMag" "WALKING_DOWNSTAIRS" -0.0757412543673469
1 "mean" "BodyGyroMag" "WALKING_UPSTAIRS" -0.126735589969811
1 "mean" "GravityAcc" "LAYING" 0.300828564993333
1 "mean" "GravityAcc" "SITTING" 0.455988409617021
1 "mean" "GravityAcc" "STANDING" 0.227819583478616
1 "mean" "GravityAcc" "WALKING" 0.194985105403509
1 "mean" "GravityAcc" "WALKING_DOWNSTAIRS" 0.201048040468707
1 "mean" "GravityAcc" "WALKING_UPSTAIRS" 0.15193159781761
1 "mean" "GravityAccMag" "LAYING" -0.8419291525
1 "mean" "GravityAccMag" "SITTING" -0.948536786170213
1 "mean" "GravityAccMag" "STANDING" -0.984278207358491
1 "mean" "GravityAccMag" "WALKING" -0.136971176556842
1 "mean" "GravityAccMag" "WALKING_DOWNSTAIRS" 0.0271882914106122
1 "mean" "GravityAccMag" "WALKING_UPSTAIRS" -0.129927630735849
1 "std" "BodyAcc" "LAYING" -0.860316637764667
1 "std" "BodyAcc" "SITTING" -0.944598469822695
1 "std" "BodyAcc" "STANDING" -0.982497423616352
1 "std" "BodyAcc" "WALKING" -0.162014714755491
1 "std" "BodyAcc" "WALKING_DOWNSTAIRS" -0.103149268968806
1 "std" "BodyAcc" "WALKING_UPSTAIRS" -0.101034942099371
1 "std" "BodyAccJerk" "LAYING" -0.949075343766667
1 "std" "BodyAccJerk" "SITTING" -0.985676595
1 "std" "BodyAccJerk" "STANDING" -0.991157709371069
1 "std" "BodyAccJerk" "WALKING" -0.185145513300842
1 "std" "BodyAccJerk" "WALKING_DOWNSTAIRS" -0.180374942219286
1 "std" "BodyAccJerk" "WALKING_UPSTAIRS" -0.516906022767296
1 "std" "BodyAccJerkMag" "LAYING" -0.9282456284
1 "std" "BodyAccJerkMag" "SITTING" -0.984120024042553
1 "std" "BodyAccJerkMag" "STANDING" -0.993096209433962
1 "std" "BodyAccJerkMag" "WALKING" -0.0744717500625263
1 "std" "BodyAccJerkMag" "WALKING_DOWNSTAIRS" -0.0257877197081633
1 "std" "BodyAccJerkMag" "WALKING_UPSTAIRS" -0.478991622075472
1 "std" "BodyAccMag" "LAYING" -0.79672290213
1 "std" "BodyAccMag" "SITTING" -0.927761610212766
1 "std" "BodyAccMag" "STANDING" -0.982128366792453
1 "std" "BodyAccMag" "WALKING" -0.308860616236842
1 "std" "BodyAccMag" "WALKING_DOWNSTAIRS" -0.0833229752234694
1 "std" "BodyAccMag" "WALKING_UPSTAIRS" -0.370615515377358
1 "std" "BodyBodyAccJerkMag" "LAYING" -0.9218039756
1 "std" "BodyBodyAccJerkMag" "SITTING" -0.981606177446808
1 "std" "BodyBodyAccJerkMag" "STANDING" -0.992536003396226
1 "std" "BodyBodyAccJerkMag" "WALKING" -0.103492403002105
1 "std" "BodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" -0.104052260726531
1 "std" "BodyBodyAccJerkMag" "WALKING_UPSTAIRS" -0.533059853773585
1 "std" "BodyBodyGyroJerkMag" "LAYING" -0.9326606676
1 "std" "BodyBodyGyroJerkMag" "SITTING" -0.987049617234043
1 "std" "BodyBodyGyroJerkMag" "STANDING" -0.994671123207547
1 "std" "BodyBodyGyroJerkMag" "WALKING" -0.381601911789474
1 "std" "BodyBodyGyroJerkMag" "WALKING_DOWNSTAIRS" -0.391919876612245
1 "std" "BodyBodyGyroJerkMag" "WALKING_UPSTAIRS" -0.693930521509434
1 "std" "BodyBodyGyroMag" "LAYING" -0.82431943968
1 "std" "BodyBodyGyroMag" "SITTING" -0.932198374893617
1 "std" "BodyBodyGyroMag" "STANDING" -0.978466072075472
1 "std" "BodyBodyGyroMag" "WALKING" -0.321017953894737
1 "std" "BodyBodyGyroMag" "WALKING_DOWNSTAIRS" -0.398350390122449
1 "std" "BodyBodyGyroMag" "WALKING_UPSTAIRS" -0.182985518264151
1 "std" "BodyGyro" "LAYING" -0.913838329836667
1 "std" "BodyGyro" "SITTING" -0.961546368333333
1 "std" "BodyGyro" "STANDING" -0.985420366666667
1 "std" "BodyGyro" "WALKING" -0.309862035004474
1 "std" "BodyGyro" "WALKING_DOWNSTAIRS" -0.270727162030952
1 "std" "BodyGyro" "WALKING_UPSTAIRS" -0.338999336804088
1 "std" "BodyGyroJerk" "LAYING" -0.948101974666667
1 "std" "BodyGyroJerk" "SITTING" -0.989728489007092
1 "std" "BodyGyroJerk" "STANDING" -0.993397163836478
1 "std" "BodyGyroJerk" "WALKING" -0.305381939340351
1 "std" "BodyGyroJerk" "WALKING_DOWNSTAIRS" -0.331537883339456
1 "std" "BodyGyroJerk" "WALKING_UPSTAIRS" -0.607605055660377
1 "std" "BodyGyroJerkMag" "LAYING" -0.9358409828
1 "std" "BodyGyroJerkMag" "SITTING" -0.988308728510638
1 "std" "BodyGyroJerkMag" "STANDING" -0.994733238679245
1 "std" "BodyGyroJerkMag" "WALKING" -0.325324878894737
1 "std" "BodyGyroJerkMag" "WALKING_DOWNSTAIRS" -0.306510645530612
1 "std" "BodyGyroJerkMag" "WALKING_UPSTAIRS" -0.648553044339623
1 "std" "BodyGyroMag" "LAYING" -0.81901016976
1 "std" "BodyGyroMag" "SITTING" -0.934531840425532
1 "std" "BodyGyroMag" "STANDING" -0.978690028679245
1 "std" "BodyGyroMag" "WALKING" -0.186978364526316
1 "std" "BodyGyroMag" "WALKING_DOWNSTAIRS" -0.225724368061224
1 "std" "BodyGyroMag" "WALKING_UPSTAIRS" -0.14861931805283
1 "std" "GravityAcc" "LAYING" -0.885638771793333
1 "std" "GravityAcc" "SITTING" -0.951005044964539
1 "std" "GravityAcc" "STANDING" -0.983771002201258
1 "std" "GravityAcc" "WALKING" -0.965210943368421
1 "std" "GravityAcc" "WALKING_DOWNSTAIRS" -0.927839388571429
1 "std" "GravityAcc" "WALKING_UPSTAIRS" -0.940531890503145
1 "std" "GravityAccMag" "LAYING" -0.79514486386
1 "std" "GravityAccMag" "SITTING" -0.927078418723404
1 "std" "GravityAccMag" "STANDING" -0.981942928867925
1 "std" "GravityAccMag" "WALKING" -0.219688645631579
1 "std" "GravityAccMag" "WALKING_DOWNSTAIRS" 0.0198843506265306
1 "std" "GravityAccMag" "WALKING_UPSTAIRS" -0.324970929245283
2 "mean" "BodyAcc" "LAYING" -0.464156310966667
2 "mean" "BodyAcc" "SITTING" -0.460188071030797
2 "mean" "BodyAcc" "STANDING" -0.45878458730216
2 "mean" "BodyAcc" "WALKING" -0.111571338769944
2 "mean" "BodyAcc" "WALKING_DOWNSTAIRS" 0.066339403322695
2 "mean" "BodyAcc" "WALKING_UPSTAIRS" -0.0774266138306597
2 "mean" "BodyAccJerk" "LAYING" -0.476954937528507
2 "mean" "BodyAccJerk" "SITTING" -0.476426697931775
2 "mean" "BodyAccJerk" "STANDING" -0.475813880482531
2 "mean" "BodyAccJerk" "WALKING" -0.141730573596751
2 "mean" "BodyAccJerk" "WALKING_DOWNSTAIRS" 0.00810949628677305
2 "mean" "BodyAccJerk" "WALKING_UPSTAIRS" -0.147497877785174
2 "mean" "BodyAccJerkMag" "LAYING" -0.987741696041667
2 "mean" "BodyAccJerkMag" "SITTING" -0.986774713043478
2 "mean" "BodyAccJerkMag" "STANDING" -0.980489077407407
2 "mean" "BodyAccJerkMag" "WALKING" -0.281424153881356
2 "mean" "BodyAccJerkMag" "WALKING_DOWNSTAIRS" 0.00565516335106383
2 "mean" "BodyAccJerkMag" "WALKING_UPSTAIRS" -0.321268911041667
2 "mean" "BodyAccMag" "LAYING" -0.976272840833333
2 "mean" "BodyAccMag" "SITTING" -0.964583686086957
2 "mean" "BodyAccMag" "STANDING" -0.964963673888889
2 "mean" "BodyAccMag" "WALKING" -0.307348510830508
2 "mean" "BodyAccMag" "WALKING_DOWNSTAIRS" 0.191687973544681
2 "mean" "BodyAccMag" "WALKING_UPSTAIRS" -0.126320609338542
2 "mean" "BodyBodyAccJerkMag" "LAYING" -0.985374114791667
2 "mean" "BodyBodyAccJerkMag" "SITTING" -0.983874698913043
2 "mean" "BodyBodyAccJerkMag" "STANDING" -0.977065295555556
2 "mean" "BodyBodyAccJerkMag" "WALKING" -0.169064352813559
2 "mean" "BodyBodyAccJerkMag" "WALKING_DOWNSTAIRS" 0.222247409576596
2 "mean" "BodyBodyAccJerkMag" "WALKING_UPSTAIRS" -0.189511136902083
2 "mean" "BodyBodyGyroJerkMag" "LAYING" -0.990248702291667
2 "mean" "BodyBodyGyroJerkMag" "SITTING" -0.989861950869565
2 "mean" "BodyBodyGyroJerkMag" "STANDING" -0.977849827407407
2 "mean" "BodyBodyGyroJerkMag" "WALKING" -0.583249293389831
